hunmin,jamo,chosung,simplified,traditional,intonation,priority
ᄛᅥᆼ,ㄹ`ㅓㅇ,ㄹ`,扔,扔,1,2
ᄛᅥᆼ 지우,ㄹ`ㅓㅇㅈㅣㅇㅜ,ㄹ`ㅈㅇ,仍旧 ,,"2,4",1
ᄛᅥᆼᄛᅡᆫ,ㄹ`ㅓㅇㄹ`ㅏㄴ,ㄹ`ㄹ`,仍然 ,,"2,2",1
ᄛᅪᆫ,ㄹ`ㅗㅏㄴ,ㄹ`,软,軟,3,1
ᄛᅪᆫ졘,ㄹ`ㅗㅏㄴㅈㅖㄴ,ㄹ`ㅈ,软件 ,,"3,4",1
ᄛᅮ,ㄹ`ㅜ,ㄹ`,如,如,2,1
ᄛᅮ,ㄹ`ㅜ,ㄹ`,入,入,4,2
ᄛᅮ 커우,ㄹ`ᅮㅋㅓㅇㅜ,ㄹ`ㅋㅇ,入口 ,,"4,3",1
ᄛᅮ궈,ㄹ`ᅮㄱㅜㅓ,ㄹ`ㄱ,如果 ,,"2,3",1
ᄛᅮ이,ㄹ`ㅜㅇㅣ,ㄹ`ㅇ,锐,锐,4,1
ᄛᅮ진,ㄹ`ᅮㅈㅣㄴ,ㄹ`ㅈ,如今 ,,"2,1",1
ᄛᅮ허,ㄹ`ᅮㅎㅓ,ㄹ`ㅎ,如何 ,,"2,2",1
ᄛᅮᆫ,ㄹ`ㅜㄴ,ㄹ`,润,潤,4,1
ᄛᅮᆼ,ㄹ`ㅜㅇ,ㄹ`,荣,榮,2,2
ᄛᅮᆼ,ㄹ`ㅜㅇ,ㄹ`,容,容,2,1
ᄛᅮᆼ,ㄹ`ㅜㅇ,ㄹ`,融,融,2,3
ᄛᅮᆼ 마오,ㄹ`ᅮㅇㅁㅏㅇㅗ,ㄹ`ㅁㅇ,容貌 ,,"2,4",1
ᄛᅮᆼ 치아,ㄹ`ᅮㅇㅊㅣㅇㅏ,ㄹ`ㅊㅇ,融洽 ,,"2,4",1
ᄛᅮᆼ나,ㄹ`ᅮㅇㄴㅏ,ㄹ`ㄴ,容纳 ,,"2,4",1
ᄛᅮᆼᄛᅥᆫ,ㄹ`ᅮㅇㄹ`ㅓㄴ,ㄹ`ㄹ`,容忍 ,,"2,3",1
ᄛᅮᆼ싱,ㄹ`ᅮㅇㅅㅣㅇ,ㄹ`ㅅ,荣幸 ,,"2,4",1
ᄛᅮᆼ이,ㄹ`ᅮㅇㅇㅣ,ㄹ`ㅇ,容易 ,,"2,4",1
ᄛᅮᆼ졔,ㄹ`ᅮㅇㅈㅖ,ㄹ`ㅈ,溶解 ,,"2,3",1
ᄛᅮᆼ치,ㄹ`ᅮㅇㅊㅣ,ㄹ`ㅊ,容器 ,,"2,4",1
ᄛᅮᆼ화,ㄹ`ᅮㅇㅎㅗㅏ,ㄹ`ㅎ,融化 ,,"2,4",1
ᄛᅯ,ㄹ`ㅜㅓ,ㄹ`,弱,弱,4,1
ᄛᅯ간,ㄹ`ㅜㅓㄱㅏㄴ,ㄹ`ㄱ,若干 ,,"4,1",1
ᄛᅵ,ㄹ`ㅣ,ㄹ`,日,日,4,1
ᄛᅵ 신 웨 이,ㄹ`ᅵㅅㅣㄴㅇㅜㅔㅇㅣ,ㄹ`ㅅㅇㅇ,日新月异 ,,"4,1,4,4",1
ᄛᅵ리,ㄹ`ᅵㄹㅣ,ㄹ`ㄹ,日历 ,,"4,4",1
ᄛᅵ이,ㄹ`ᅵㅇㅣ,ㄹ`ㄹ,日益 ,,"4,4",1
ᄛᅵ챵,ㄹ`ᅵㅊㅑㅇ,ㄹ`ㅊ,日常 ,,"4,2",1
ᄛᅵ쳥,ㄹ`ᅵㅊㅕㅇ,ㄹ`ㅊ,日程 ,,"4,2",1
ᄛᅵ츄,ㄹ`ᅵㅊㅠ,ㄹ`ㅊ,日出,,"4,1",1
ᄛᅵ치,ㄹ`ᅵㅊㅣ,ㄹ`ㅊ,日期 ,,"4,1",1
마,ㅁㅏ,ㅁ,吗,吗,0,1
마,ㅁㅏ,ㅁ,嘛,嘛,0,4
마,ㅁㅏ,ㅁ,麻,麻,2,8
마,ㅁㅏ,ㅁ,骂,駡,4,6
마,ㅁㅏ,ㅁ,吗,吗,3,2
마,ㅁㅏ,ㅁ,码,碼,3,7
마,ㅁㅏ,ㅁ,马,馬,3,5
마,ㅁㅏ,ㅁ,妈,妈,1,3
마 주이,ㅁㅏㅈㅜㅇㅣ,ㅁㅈㅇ,麻醉 ,,"2,4",1
마 터우,ㅁㅏㅌㅓㅇㅜ,ㅁㅌㅇ,码头 ,,"3,0",1
마루,ㅁㅏㄹㅜ,ㅁㄹ,马路 ,,"3,4",1
마마,ㅁㅏㅁㅏ,ㅁㅁ,妈妈 ,,"1,0",1
마모,ㅁㅏㅁㅗ,ㅁㅁ,麻木 ,,"2,4",1
마비,ㅁㅏㅂㅣ,ㅁㅂ,麻痹 ,,"2,4",1
마샹,ㅁㅏㅅㅑㅇ,ㅁㅅ,马上 ,,"3,4",1
마시,ㅁㅏㅅㅣ,ㅁㅅ,马戏 ,,"3,4",1
마오,ㅁㅏㅇㅗ,ㅁㅇ,毛,毛,2,1
마오,ㅁㅏㅇㅗ,ㅁㅇ,矛,矛,2,7
마오,ㅁㅏㅇㅗ,ㅁㅇ,髦,髦,2,9
마오,ㅁㅏㅇㅗ,ㅁㅇ,冒,冒,4,3
마오,ㅁㅏㅇㅗ,ㅁㅇ,帽,帽,4,4
마오,ㅁㅏㅇㅗ,ㅁㅇ,貌,貌,4,6
마오,ㅁㅏㅇㅗ,ㅁㅇ,茂,茂,4,5
마오,ㅁㅏㅇㅗ,ㅁㅇ,贸,贸,4,8
마오,ㅁㅏㅇㅗ,ㅁㅇ,猫,猫,1,2
마오 둔,ㅁㅏㅇㅗㄷㅜㄴ,ㅁㅇㄷ,矛盾 ,,"2,4",1
마오 빙,ㅁㅏㅇㅗㅂㅣㅇ,ㅁㅇㅂ,毛病 ,,"2,4",1
마오 셩,ㅁㅏㅇㅗㅅㅕㅇ,ㅁㅇㅅ,茂盛 ,,"4,4",1
마오 셴,ㅁㅏㅇㅗㅅㅖㄴ,ㅁㅇㅅ,冒险 ,,"4,3",1
마오 이,ㅁㅏㅇㅗㅇㅣ,ㅁㅇㅇ,贸易 ,,"4,4",1
마오 진,ㅁㅏㅇㅗㅈㅣㄴ,ㅁㅇㅈ,毛巾 ,,"2,1",1
마오 쯔,ㅁㅏㅇㅗㅉㅡ,ㅁㅇㅉ,帽子,,"4,0",1
마오 쯔,ㅁㅏㅇㅗㅉㅡ,ㅁㅇㅉ,帽子 ,,"4,0",1
마오 츙,ㅁㅏㅇㅗㅊㅠㅇ,ㅁㅇㅊ,冒充 ,,"4,1",1
마이,ㅁㅏㅇㅣ,ㅁㅇ,埋,埋,2,4
마이,ㅁㅏㅇㅣ,ㅁㅇ,卖,賣,4,2
마이,ㅁㅏㅇㅣ,ㅁㅇ,麦,麥,4,3
마이,ㅁㅏㅇㅣ,ㅁㅇ,买,買,3,1
마이 모,ㅁㅏㅇㅣㅁㅗ,ㅁㅇㅁ,埋没 ,,"2,4",1
마이 보,ㅁㅏㅇㅣㅂㅗ,ㅁㅇㅂ,脉搏 ,,"4,2",1
마이 장,ㅁㅏㅇㅣㅈㅏㅇ,ㅁㅇㅈ,埋葬 ,,"2,4",1
마이 커 ᅗᅥᆼ,ㅁㅏㅇㅣㅋㅓㅍ`ㅓㅇ,ㅁㅇㅋㅍ`,麦克风 ,,"4,4,1",1
마이 ᅗᅮ,ㅁㅏㅇㅣㅍ`ᅮ,ㅁㅇㅍ`,埋伏 ,,"2,2",1
마ᅗᅡᆫ,ㅁㅏㅍ`ㅏㄴ,ㅁㅍ`,麻烦 ,,"2,0",1
마후,ㅁㅏㅎㅜ,ㅁㅎ,马虎 ,,"3,0",1
만,ㅁㅏㄴ,ㅁ,瞒,瞒,2,3
만,ㅁㅏㄴ,ㅁ,馒,馒,2,4
만,ㅁㅏㄴ,ㅁ,埋,埋,2,5
만,ㅁㅏㄴ,ㅁ,慢,慢,4,2
만,ㅁㅏㄴ,ㅁ,满,滿,3,1
만 위안,ㅁㅏㄴㅇㅜㅣㅇㅏㄴ,ㅁㅇㅇ,埋怨 ,,"2,4",1
만 터우,ㅁㅏㄴㅌㅓㅇㅜ,ㅁㅌㅇ,馒头 ,,"2,0",1
만싱,ㅁㅏㄴㅅㅣㅇ,ㅁㅅ,慢性 ,,"4,4",1
만옌,ㅁㅏㄴㅇㅖㄴ,ㅁㅇ,蔓延 ,,"4,2",1
만이,ㅁㅏㄴㅇㅣ,ㅁㅇ,满意 ,,"3,4",1
만주,ㅁㅏㄴㅈㅜ,ㅁㅈ,满足 ,,"3,2",1
만챵,ㅁㅏㄴㅊㅑㅇ,ㅁㅊ,漫长 ,,"4,2",1
만화,ㅁㅏㄴㅎㅗㅏ,ㅁㅎ,漫画 ,,"4,4",1
망,ㅁㅏㅇ,ㅁ,忙,忙,2,1
망루,ㅁㅏㅇㄹㅜ,ㅁㄹ,忙碌 ,,"2,4",1
망무,ㅁㅏㅇㅁㅜ,ㅁㅁ,盲目 ,,"2,4",1
먀오,ㅁㅑㅇㅗ,ㅁㅇ,描,描,2,4
먀오,ㅁㅑㅇㅗ,ㅁㅇ,苗,苗,2,3
먀오,ㅁㅑㅇㅗ,ㅁㅇ,庙,廟,4,2
먀오,ㅁㅑㅇㅗ,ㅁㅇ,秒,秒,3,1
먀오 셰,ㅁㅑㅇㅗㅅㅖ,ㅁㅇㅅ,描写 ,,"2,3",1
먀오 시아오,ㅁㅑㅇㅗㅅㅣㅇㅏㅇㅗ,ㅁㅇㅅㅇㅇ,渺小 ,,"3,3",1
먀오 탸오,ㅁㅑㅇㅗㅌㅑㅇㅗ,ㅁㅇㅌㅇ,苗条 ,,"2,0",1
먀오 후이,ㅁㅑㅇㅗㅎㅜㅇㅣ,ㅁㅇㅎㅇ,描绘 ,,"2,4",1
머,ㅁㅓ,ㅁ,么,麽,5,1
머우,ㅁㅓㅇㅜ,ㅁㅇ,某,某,3,1
머우 치우,ㅁㅓㅇㅜㅊㅣㅇㅜ,ㅁㅇㅊㅇ,谋求 ,,"2,2",1
머허,ㅁㅓㅎㅓ,ㅁㅎ,磨合 ,,"2,2",1
먼,ㅁㅓㄴ,ㅁ,们,们,0,2
먼,ㅁㅓㄴ,ㅁ,们,们,2,3
먼,ㅁㅓㄴ,ㅁ,门,门,2,1
먼,ㅁㅓㄴ,ㅁ,闷,闷,4,4
먼젼,ㅁㅓㄴㅈㅕㄴ,ㅁㅈ,门诊 ,,"2,3",1
멍,ㅁㅓㅇ,ㅁ,孟,孟,4,2
멍,ㅁㅓㅇ,ㅁ,梦,夢,4,1
멍 시앙,ㅁㅓㅇㅅㅣㅇㅏㅇ,ㅁㅅㅇ,梦想 ,,"4,3",1
멍례,ㅁㅓㅇㄹㅖ,ㅁㄹ,猛烈 ,,"3,4",1
메이,ㅁㅔㅇㅣ,ㅁㅇ,梅,梅,2,4
메이,ㅁㅔㅇㅣ,ㅁㅇ,煤,煤,2,7
메이,ㅁㅔㅇㅣ,ㅁㅇ,玫,玫,2,12
메이,ㅁㅔㅇㅣ,ㅁㅇ,莓,莓,2,11
메이,ㅁㅔㅇㅣ,ㅁㅇ,霉,霉,2,8
메이,ㅁㅔㅇㅣ,ㅁㅇ,没,没,2,1
메이,ㅁㅔㅇㅣ,ㅁㅇ,眉,眉,2,5
메이,ㅁㅔㅇㅣ,ㅁㅇ,妹,妹,4,6
메이,ㅁㅔㅇㅣ,ㅁㅇ,魅,魅,4,10
메이,ㅁㅔㅇㅣ,ㅁㅇ,媚,媚,4,9
메이,ㅁㅔㅇㅣ,ㅁㅇ,每,每,3,3
메이,ㅁㅔㅇㅣ,ㅁㅇ,美,美,3,2
메이 관,ㅁㅔㅇㅣㄱㅗㅏㄴ,ㅁㅇㄱ,美观 ,,"3,1",1
메이 관 시,ㅁㅔㅇㅣㄱㅗㅏㄴㅅㅣ,ㅁㅇㄱㅅ,没关系 ,,"2,1,0",1
메이 구이,ㅁㅔㅇㅣㄱㅜㅇㅣ,ㅁㅇㄱㅇ,玫瑰,,"2,0",1
메이 리,ㅁㅔㅇㅣㄹㅣ,ㅁㅇㄹ,美丽 ,,"3,4",1
메이 리,ㅁㅔㅇㅣㄹㅣ,ㅁㅇㄹ,魅力 ,,"4,4",1
메이 마오,ㅁㅔㅇㅣㅁㅏㅇㅗ,ㅁㅇㅁㅇ,眉毛 ,,"2,0",1
메이 만,ㅁㅔㅇㅣㅁㅏㄴ,ㅁㅇㅁ,美满 ,,"3,3",1
메이 먀오,ㅁㅔㅇㅣㅁㅑㅇㅗ,ㅁㅇㅁㅇ,美妙 ,,"3,4",1
메이 메이,ㅁㅔㅇㅣㅁㅔㅇㅣ,ㅁㅇㅁㅇ,妹妹 ,,"4,0",1
메이 무,ㅁㅔㅇㅣㅁㅜ,ㅁㅇㅁ,内幕 ,,"4,4",1
메이 션 머,ㅁㅔㅇㅣㅅㅕㄴㅁㅓ,ㅁㅇㅅㅁ,没什么 ,,"2,2,0",1
메이 슈,ㅁㅔㅇㅣㅅㅠ,ㅁㅇㅅ,美术 ,,"3,4",1
메이 완 메이 랴오,ㅁㅔㅇㅣㅇㅗㅏㄴㅁㅔㅇㅣㄹㅑㅇㅗ,ㅁㅇㅇㅁㅇㄹㅇ,没完没了,,"2,2,2,3",1
메이 위,ㅁㅔㅇㅣㅇㅜㅣ,ㅁㅇㅇ,梅雨,,"2,3",1
메이 유,ㅁㅔㅇㅣㅇㅠ,ㅁㅇㅇ,没有 ,,"2,3",1
메이 져,ㅁㅔㅇㅣㅈㅕ,ㅁㅇㅈ,没辙 ,,"2,2",1
메이 징,ㅁㅔㅇㅣㅈㅣㅇ,ㅁㅇㅈ,美景,,"3,3",1
메이 치 루,ㅁㅔㅇㅣㅊㅣㄹㅜ,ㅁㅇㅊㄹ,煤气炉,,"2,4,2",1
메이 탄,ㅁㅔㅇㅣㅌㅏㄴ,ㅁㅇㅌ,煤炭 ,,"2,4",1
메이 티,ㅁㅔㅇㅣㅌㅣ,ㅁㅇㅌ,媒体 ,,"2,3",1
명쯔,ㅁㅕㅇㅉㅡ,ㅁㅉ,名字 ,,"2,0",1
몌ᄵᅳ,ㅁㅖㅅ`ᅳ,ㅁㅅ`,蔑视 ,,"4,4",1
몐,ㅁㅖㄴ,ㅁ,棉,棉,2,3
몐,ㅁㅖㄴ,ㅁ,绵,绵,2,4
몐,ㅁㅖㄴ,ㅁ,免,免,3,2
몐,ㅁㅖㄴ,ㅁ,面,面,4,1
몐 두이,ㅁㅖㄴㄷㅜㅇㅣ,ㅁㄷㅇ,面对 ,,"4,4",1
몐 마오,ㅁㅖㄴㅁㅏㅇㅗ,ㅁㅁㅇ,面貌 ,,"4,4",1
몐 바오,ㅁㅖㄴㅂㅏㅇㅗ,ㅁㅂㅇ,面包 ,,"4,1",1
몐 치앙,ㅁㅖㄴㅊㅣㅇㅏㅇ,ㅁㅊㅇ,勉强 ,,"3,3",1
몐 탸오,ㅁㅖㄴㅌㅑㅇㅗ,ㅁㅌㅇ,面条 ,,"4,2",1
몐 ᅗᅦ이,ㅁㅖㄴㅍ`ㅔㅇㅣ,ㅁㅍ`ㅇ,免费 ,,"3,4",1
몐더,ㅁㅖㄴㄷㅓ,ㅁㄷ,免得 ,,"3,0",1
몐리,ㅁㅖㄴㄹㅣ,ㅁㄹ,勉励 ,,"3,4",1
몐린,ㅁㅖㄴㄹㅣㄴ,ㅁㄹ,面临 ,,"4,2",1
몐양,ㅁㅖㄴㅇㅑㅇ,ㅁㅇ,绵羊 ,,"2,2",1
몐이,ㅁㅖㄴㅇㅣ,ㅁㅇ,免疫 ,,"3,4",1
몐지,ㅁㅖㄴㅈㅣ,ㅁㅈ,面积 ,,"4,1",1
몐쯔,ㅁㅖㄴㅉㅡ,ㅁㅉ,面子 ,,"4,0",1
몐화,ㅁㅖㄴㅎㅗㅏ,ㅁㅎ,棉花 ,,"2,0",1
모,ㅁㅗ,ㅁ,摩,摩,2,5
모,ㅁㅗ,ㅁ,寞,寞,4,9
모,ㅁㅗ,ㅁ,末,末,4,1
모,ㅁㅗ,ㅁ,陌,陌,4,7
모,ㅁㅗ,ㅁ,没,没,4,8
모,ㅁㅗ,ㅁ,默,默,4,6
모,ㅁㅗ,ㅁ,抹,抹,3,4
모,ㅁㅗ,ㅁ,摸,摸,1,2
모,ㅁㅗ,ㅁ,模,模,2,3
모 구이,ㅁㅗㄱㅜㅇㅣ,ㅁㄱㅇ,魔鬼 ,,"2,3",1
모 밍 치 먀오,ㅁㅗㅁㅣㅇㅊㅣㅁㅑㅇㅗ,ㅁㅁㅊㅁㅇ,莫名其妙 ,,"4,2,2,4",1
모 뱌오,ㅁㅗㅂㅑㅇㅗ,ㅁㅂㅇ,目标 ,,"4,1",1
모 슈이얼,ㅁㅗㅅㅠㅇㅣㅇㅓㄹ,ㅁㅅㅇㅇ,墨水儿 ,,"4,3,0",1
모 터우 ,ㅁㅗㅌㅓㅇㅜ,ㅁㅌㅇ,木头 ,,"4,0",1
모 퉈 쳐,ㅁㅗㅌㅜㅓㅊㅕ,ㅁㅌㅊ,摩托车 ,,"2,1,1",1
모니,ㅁㅗㄴㅣ,ㅁㄴ,模拟 ,,"2,3",1
모모,ㅁㅗㅁㅗ,ㅁㅁ,默默 ,,"4,4",1
모샤,ㅁㅗㅅㅑ,ㅁㅅ,抹杀 ,,"3,1",1
모셩,ㅁㅗㅅㅕㅇ,ㅁㅅ,陌生 ,,"4,1",1
모숴,ㅁㅗㅅㅜㅓ,ㅁㅅ,摸索 ,,"1,3",1
모슈,ㅁㅗㅅㅠ,ㅁㅅ,魔术 ,,"2,4",1
모싱,ㅁㅗㅅㅣㅇ,ㅁㅅ,模型 ,,"2,2",1
모ᄵᅳ,ㅁㅗㅅ`ᅳ,ㅁㅅ`,模式 ,,"2,4",1
모위,ㅁㅗㅇㅜㅣ,ㅁㅇ,母语 ,,"3,3",1
모차,ㅁㅗㅊㅏ,ㅁㅊ,摩擦 ,,"2,1",1
모친,ㅁㅗㅊㅣㄴ,ㅁㅊ,母亲 ,,"3,1",1
모ᅗᅡᆫ,ㅁㅗㅍ`ㅏㄴ,ㅁㅍ`,模范 ,,"2,4",1
모ᅗᅡᆼ,ㅁㅗㅍ`ㅏㅇ,ㅁㅍ`,模仿 ,,"2,3",1
모후,ㅁㅗㅎㅜ,ㅁㅎ,模糊 ,,"2,0",1
무,ㅁㅜ,ㅁ,慕,慕,4,4
무,ㅁㅜ,ㅁ,木,木,4,1
무,ㅁㅜ,ㅁ,目,目,4,3
무,ㅁㅜ,ㅁ,母,母,3,2
무광,ㅁㅜㄱㅗㅏㅇ,ㅁㄱ,目光 ,,"4,1",1
무두,ㅁㅜㄷㅜ,ㅁㄷ,目睹 ,,"4,3",1
무디,ㅁㅜㄷㅣ,ㅁㄷ,目的 ,,"4,4",1
무루,ㅁㅜㄹㅜ,ㅁㄹ,目录 ,,"4,4",1
무양,ㅁㅜㅇㅑㅇ,ㅁㅇ,模样 ,,"2,4",1
무쳰,ㅁㅜㅊㅖㄴ,ㅁㅊ,目前 ,,"4,2",1
미,ㅁㅣ,ㅁ,迷,迷,2,4
미,ㅁㅣ,ㅁ,密,密,4,2
미,ㅁㅣ,ㅁ,蜜,蜜,4,3
미,ㅁㅣ,ㅁ,秘,秘,4,5
미,ㅁㅣ,ㅁ,米,米,3,1
미두,ㅁㅣㄷㅜ,ㅁㄷ,密度 ,,"4,4",1
미루,ㅁㅣㄹㅜ,ㅁㄹ,迷路 ,,"2,4",1
미ᄛᅥᆫ,ㅁㅣㄹ`ㅓㄴ,ㅁㄹ`,迷人 ,,"2,2",1
미마,ㅁㅣㅁㅏ,ㅁㅁ,密码 ,,"4,3",1
미미,ㅁㅣㅁㅣ,ㅁㅁ,秘密 ,,"4,4",1
미부,ㅁㅣㅂㅜ,ㅁㅂ,弥补 ,,"2,3",1
미슈,ㅁㅣㅅㅠ,ㅁㅅ,秘书 ,,"4,1",1
미신,ㅁㅣㅅㅣㄴ,ㅁㅅ,迷信 ,,"2,4",1
미ᄵᅳ,ㅁㅣㅅ`ᅳ,ㅁㅅ`,迷失 ,,"2,1",1
미웨,ㅁㅣㅇㅜㅔ,ㅁㅇ,蜜月 ,,"4,4",1
미위,ㅁㅣㅇㅜㅣ,ㅁㅇ,谜语 ,,"2,3",1
미줴,ㅁㅣㅈㅜㅔ,ㅁㅈ,秘诀,,"4,2",1
미쳬,ㅁㅣㅊㅖ,ㅁㅊ,密切 ,,"4,4",1
미ᅗᅡᆫ,ㅁㅣㅍ`ㅏㄴ,ㅁㅍ`,米饭 ,,"3,4",1
미ᅗᅥᆼ,ㅁㅣㅍ`ㅓㅇ,ㅁㅍ`,蜜蜂 ,,"4,1",1
미ᅗᅥᆼ,ㅁㅣㅍ`ㅓㅇ,ㅁㅍ`,密封 ,,"4,1",2
민,ㅁㅣㄴ,ㅁ,民,民,2,1
민,ㅁㅣㄴ,ㅁ,敏,敏,3,2
민 ᄛᅮ이,ㅁㅣㄴㄹ`ᅮㅇㅣ,ㅁㄹ`ㅇ,敏锐 ,,"3,4",1
민융,ㅁㅣㄴㅇㅠㅇ,ㅁㅇ,民用 ,,"2,4",1
민졔,ㅁㅣㄴㅈㅖ,ㅁㅈ,敏捷 ,,"3,2",1
민주,ㅁㅣㄴㅈㅜ,ㅁㅈ,民族 ,,"2,2",1
민쥬,ㅁㅣㄴㅈㅠ,ㅁㅈ,民主 ,,"2,3",1
밍,ㅁㅣㅇ,ㅁ,名,名,2,1
밍,ㅁㅣㅇ,ㅁ,明,明,2,2
밍,ㅁㅣㅇ,ㅁ,命,命,4,3
밍 바이,ㅁㅣㅇㅂㅏㅇㅣ,ㅁㅂㅇ,明白 ,,"2,0",1
밍 셩 구 지,ㅁㅣㅇㅅㅕㅇㄱㅜㅈㅣ,ㅁㅅㄱㅈ,名胜古迹 ,,"2,4,3,4",1
밍 신 폔,ㅁㅣㅇㅅㅣㄴㅍㅖㄴ,ㅁㅅㅍ,明信片 ,,"2,4,4",1
밍 파이,ㅁㅣㅇㅍㅏㅇㅣ,ㅁㅍㅇ,名牌 ,,"2,2",1
밍 ᅗᅮ 치 ᄵᅳ,ㅁㅣㅇㅍ`ᅮㅊㅣㅅ`ᅳ,ㅁㄹ`ㅊㅅ`,名副其实 ,,"2,4,2,2",1
밍간,ㅁㅣㅇㄱㅏㄴ,ㅁㄱ,敏感 ,,"3,3",1
밍링,ㅁㅣㅇㄹㅣㅇ,ㅁㄹ,命令 ,,"4,4",1
밍밍,ㅁㅣㅇㅁㅣㅇ,ㅁㅁ,命名 ,,"4,2",1
밍밍,ㅁㅣㅇㅁㅣㅇ,ㅁㅁ,明明 ,,"2,2",1
밍셴,ㅁㅣㅇㅅㅖㄴ,ㅁㅅ,明显 ,,"2,3",1
밍싱,ㅁㅣㅇㅅㅣㅇ,ㅁㅅ,明星 ,,"2,1",1
밍얼,ㅁㅣㅇㅇㅓㄹ,ㅁㅇ,名额 ,,"2,2",1
밍위,ㅁㅣㅇㅇㅜㅣ,ㅁㅇ,名誉 ,,"2,4",1
밍윈,ㅁㅣㅇㅇㅜㅣㄴ,ㅁㅇ,命运 ,,"4,4",1
밍졘,ㅁㅣㅇㅈㅖㄴ,ㅁㅈ,民间 ,,"2,1",1
밍췌,ㅁㅣㅇㅊㅜㅔ,ㅁㅊ,明确 ,,"2,4",1
밍츠,ㅁㅣㅇㅊㅡ,ㅁㅊ,名次 ,,"2,4",1
밍톈,ㅁㅣㅇㅌㅖㄴ,ㅁㅌ,明天 ,,"2,1",1
밍폔,ㅁㅣㅇㅍㅖㄴ,ㅁㅍ,名片 ,,"2,4",1
바,ㅂㅏ,ㅂ,拔,拔,2,5
바,ㅂㅏ,ㅂ,爸,爸,4,4
바,ㅂㅏ,ㅂ,罢,罢,4,7
바,ㅂㅏ,ㅂ,把,把,3,1
바,ㅂㅏ,ㅂ,巴,巴,1,6
바,ㅂㅏ,ㅂ,吧,吧,1,2
바,ㅂㅏ,ㅂ,疤,疤,1,8
바,ㅂㅏ,ㅂ,吧,吧,0,3
바 다오,ㅂㅏㄷㅏㅇㅗ,ㅂㄷㅇ,霸道 ,,"4,4",1
바 먀오 쥬 쟈앙,ㅂㅏㅁㅑㅇㅗㅈㅠㅈㅑㅇㅏㅇ,ㅂㅁㅇㅈㅈㅇ,拔苗助长 ,,"2,2,4,3",1
바 부 더,ㅂㅏㅂㅜㄷㅓ,ㅂㅂㄷ,巴不得 ,,"1,0,0",1
바관,ㅂㅏㄱㅗㅏㄴ,ㅂㄱ,把关 ,,"3,1",1
바궁,ㅂㅏㄱㅜㅇ,ㅂㄱ,罢工 ,,"4,1",1
바바,ㅂㅏㅂㅏ,ㅂㅂ,爸爸 ,,"4,0",1
바시,ㅂㅏㅅㅣ,ㅂㅅ,把戏 ,,"3,4",1
바오,ㅂㅏㅇㅗ,ㅂㅇ,薄,薄,4,13
바오,ㅂㅏㅇㅗ,ㅂㅇ,报,报,4,4
바오,ㅂㅏㅇㅗ,ㅂㅇ,抱,抱,4,8
바오,ㅂㅏㅇㅗ,ㅂㅇ,鲍,鲍,4,11
바오,ㅂㅏㅇㅗ,ㅂㅇ,爆,爆,4,7
바오,ㅂㅏㅇㅗ,ㅂㅇ,暴,暴,4,9
바오,ㅂㅏㅇㅗ,ㅂㅇ,保,保,3,6
바오,ㅂㅏㅇㅗ,ㅂㅇ,堡,堡,3,10
바오,ㅂㅏㅇㅗ,ㅂㅇ,宝,宝,3,5
바오,ㅂㅏㅇㅗ,ㅂㅇ,饱,饱,3,2
바오,ㅂㅏㅇㅗ,ㅂㅇ,包,包,1,1
바오,ㅂㅏㅇㅗ,ㅂㅇ,胞,胞,1,12
바오,ㅂㅏㅇㅗ,ㅂㅇ,薄,,2,3
바오 가오,ㅂㅏㅇㅗㄱㅏㅇㅗ,ㅂㅇㄱㅇ,报告 ,,"4,4",1
바오 관,ㅂㅏㅇㅗㄱㅗㅏㄴ,ㅂㅇㄱ,保管 ,,"3,3",1
바오 광,ㅂㅏㅇㅗㄱㅗㅏㅇ,ㅂㅇㄱ,曝光 ,,"4,1",1
바오 구이,ㅂㅏㅇㅗㄱㅜㅇㅣ,ㅂㅇㄱㅇ,宝贵 ,,"3,4",1
바오 궈,ㅂㅏㅇㅗㄱㅜㅓ,ㅂㅇㄱ,包裹 ,,"1,3",1
바오 다,ㅂㅏㅇㅗㄷㅏ,ㅂㅇㄷ,报答 ,,"4,2",1
바오 다오,ㅂㅏㅇㅗㄷㅏㅇㅗ,ㅂㅇㄷㅇ,报到 ,,"4,4",2
바오 다오,ㅂㅏㅇㅗㄷㅏㅇㅗ,ㅂㅇㄷㅇ,报道 ,,"4,4",1
바오 루,ㅂㅏㅇㅗㄹㅜ,ㅂㅇㄹ,暴露 ,,"4,4",1
바오 류,ㅂㅏㅇㅗㄹㅠ,ㅂㅇㄹ,保留 ,,"3,2",1
바오 리,ㅂㅏㅇㅗㄹㅣ,ㅂㅇㄹ,暴力 ,,"4,4",1
바오 무,ㅂㅏㅇㅗㅁㅜ,ㅂㅇㅁ,保姆 ,,"3,3",1
바오 미,ㅂㅏㅇㅗㅁㅣ,ㅂㅇㅁ,保密 ,,"3,4",1
바오 미 화,ㅂㅏㅇㅗㅁㅣㅎㅗㅏ,ㅂㅇㅁㅎ,爆米花 ,,"4,3,1",1
바오 밍,ㅂㅏㅇㅗㅁㅣㅇ,ㅂㅇㅁ,报名 ,,"4,2",1
바오 베이,ㅂㅏㅇㅗㅂㅔㅇㅣ,ㅂㅇㅂㅇ,宝贝 ,,"3,4",1
