hunmin,jamo,chosung,simplified,traditional,intonation,priority
간슈,ㄱㅏㄴㅅㅠ,ㄱㅅ,甘薯,,"1,3",1
간신,ㄱㅏㄴㅅㅣㄴ,ㄱㅅ,甘心 ,,"1,1",1
간위,ㄱㅏㄴㅇㅜㅣ,ㄱㅇ,干预 ,,"1,4",1
간줴,ㄱㅏㄴㅈㅜㅔ,ㄱㅈ,感觉 ,,"3,2",1
간지,ㄱㅏㄴㅈㅣ,ㄱㅈ,感激 ,,"3,1",1
간진,ㄱㅏㄴㅈㅣㄴ,ㄱㅈ,赶紧 ,,"3,3",1
간진,ㄱㅏㄴㅈㅣㄴ,ㄱㅈ,干劲 ,,"4,4",2
간징,ㄱㅏㄴㅈㅣㅇ,ㄱㅈ,干净 ,,"1,4",1
간칭,ㄱㅏㄴㅊㅣㅇ,ㄱㅊ,感情 ,,"3,2",1
간한,ㄱㅏㄴㅎㅏㄴ,ㄱㅎ,干旱 ,,"1,4",1
간훠,ㄱㅏㄴㅎㅜㅓ,ㄱㅎ,干活 ,,"4,2",1
강,ㄱㅏㅇ,ㄱ,港,港,3,2
강,ㄱㅏㅇ,ㄱ,钢,钢,1,3
강,ㄱㅏㅇ,ㄱ,刚,剛,1,1
강,ㄱㅏㅇ,ㄱ,缸,缸,1,4
강 웨이,ㄱㅏㅇㅇㅜㅔㅇㅣ,ㄱㅇㅇ,岗位 ,,"3,4",1
강 차이,ㄱㅏㅇㅊㅏㅇㅣ,ㄱㅊㅇ,刚才 ,,"1,2",1
강 커우,ㄱㅏㅇㅋㅓㅇㅜ,ㄱㅋㅇ,港口 ,,"3,3",1
강간,ㄱㅏㅇㄱㅏㄴ,ㄱㄱ,杠杆 ,,"4,3",1
강강,ㄱㅏㅇㄱㅏㅇ,ㄱㄱ,刚刚 ,,"1,1",1
강링,ㄱㅏㅇㄹㅣㅇ,ㄱㄹ,纲领 ,,"1,3",1
강완,ㄱㅏㅇㅇㅗㅏㄴ,ㄱㅇ,港湾 ,,"3,1",1
강졍,ㄱㅏㅇㅈㅕㅇ,ㄱㅈ,更正 ,,"1,4",1
강톄,ㄱㅏㅇㅌㅖ,ㄱㅌ,钢铁 ,,"1,3",1
거,ㄱㅓ,ㄱ,格,格,2,5
거,ㄱㅓ,ㄱ,隔,隔,2,6
거,ㄱㅓ,ㄱ,革,革,2,7
거,ㄱㅓ,ㄱ,各,各,4,2
거,ㄱㅓ,ㄱ,个,個,4,1
거,ㄱㅓ,ㄱ,各,各,3,3
거,ㄱㅓ,ㄱ,合,合,3,10
거,ㄱㅓ,ㄱ,歌,歌,1,4
거,ㄱㅓ,ㄱ,胳,胳,1,9
거,ㄱㅓ,ㄱ,鸽,鸽,1,8
거,ㄱㅓ,ㄱ,哥,哥,1,3
거 쇼우,ㄱㅓㅅㅛㅇㅜ,ㄱㅅㅇ,歌手 ,,"1,3",1
거 슈 지 졘,ㄱㅓㅅㅠㅈㅣㅈㅖㄴ,ㄱㅅㅈㅈ,各抒己见 ,,"4,1,3,4",1
거 와이,ㄱㅓㅇㅗㅏㅇㅣ,ㄱㅇㅇ,格外 ,,"2,4",1
거 즁 거 양,ㄱㅓㅈㅠㅇㄱㅓㅇㅑㅇ,ㄱㅈㄱㅇ,各种各样,,"4,3,4,4",1
거거,ㄱㅓㄱㅓ,ㄱㄱ,哥哥 ,,"1,0",1
거리,ㄱㅓㄹㅣ,ㄱㄹ,隔离 ,,"2,2",1
거ᄛᅥᆫ,ㄱㅓㄹ`ㅓㄴ,ㄱㄹ`,个人 ,,"4,2",1
거밍,ㄱㅓㅁㅣㅇ,ㄱㅁ,革命 ,,"2,4",1
거볘,ㄱㅓㅂㅖ,ㄱㅂ,个别 ,,"4,2",1
거보,ㄱㅓㅂㅗ,ㄱㅂ,胳膊 ,,"1,0",1
거비,ㄱㅓㅂㅣ,ㄱㅂ,隔壁 ,,"2,4",1
거싱,ㄱㅓㅅㅣㅇ,ㄱㅅ,个性 ,,"4,4",1
거ᄵᅳ,ㄱㅓㅅ`ᅳ,ㄱㅅ`,格式 ,,"2,0",1
거우,ㄱㅓㅇㅜ,ㄱㅇ,够,够,4,2
거우,ㄱㅓㅇㅜ,ㄱㅇ,构,構,4,6
거우,ㄱㅓㅇㅜ,ㄱㅇ,购,購,4,5
거우,ㄱㅓㅇㅜ,ㄱㅇ,狗,狗,3,1
거우,ㄱㅓㅇㅜ,ㄱㅇ,勾,勾,1,4
거우,ㄱㅓㅇㅜ,ㄱㅇ,沟,溝,1,3
거우 쓰,ㄱㅓㅇㅜㅆㅡ,ㄱㅇㅆ,构思 ,,"4,1",1
